代码,名称,所属行业
BDC,百通公司,通讯设备
BDX,碧迪医疗,医疗设备和用品
BEKE,贝壳,房地产服务
BEN,Franklin Resources,资产管理
BEPC,Brookfield Renewable,公用事业 - 可再生
BERY,Berry Global Group,包装与容器
BFAM,Bright Horizons Family Solutions,个性化服务
BFH,Bread Financial,信贷服务
BGC,BGC Group,资本市场
BGS,B&G食品,包装食品
BHC,Bausch Health,药品制造商 - 专业和通用
BHE,Benchmark Electronics,电子元器件
BHF,Brighthouse Financial,保险 - 人寿
BIDU,百度,互联网内容与信息
BIG,必乐透,折扣店
BIIB,渤健公司,药品制造商 - 一般
BILL,BILL Holdings,软件 - 应用
BIO,Bio-Rad实验室,医疗设备
BIRK,勃肯,鞋类及配件
BJRI,BJ's餐饮,餐厅
BK,纽约梅隆银行,资产管理
BKE,巴克尔,服装零售
BKH,黑山,公用事业 - 受监管天然气
BKNG,Booking Holdings,旅游服务
BKR,Baker Hughes,石油和天然气设备与服务
BL,BlackLine,软件 - 应用
BLBD,Blue Bird,汽车制造商
BLCO,博士伦,医疗设备和用品
BLDR,Builders FirstSource,建筑产品及设备
BLK,贝莱德,资产管理
BLMN,Bloomin Brands,餐厅
BLND,Blend Labs,软件 - 应用
BMBL,Bumble,软件 - 应用
BMRN,拜玛林制药,生物技术
BMY,施贵宝,药品制造商 - 一般
BN,Brookfield,资产管理
BNRE,Brookfield Reinsurance,保险 - 再保险
BNS,丰业银行,银行 - 多元化
BOKF,BOK银行,银行 - 地区性
BOOT,Boot Barn Holdings,服装零售
BOWL,Bowlero,休闲
BP,英国石油,石油和天然气综合
BPMC,Blueprint Medicines,生物技术
BR,Broadridge金融解决方案,信息技术服务
BRC,布雷迪,安全与防护服务
BRCC,BRC Inc,包装食品
BRKR,布鲁克,医疗设备
BRLT,Brilliant Earth,奢侈品
BRO,Brown & Brown,保险经纪人
BROS,Dutch Bros,餐厅
BRX,Brixmor Property Group,房地产投资信托 - 零售
BRY,贝利石油,石油和天然气勘探及生产
BSM,Black Stone Minerals,石油和天然气勘探及生产
BSX,波士顿科学,医疗设备
BTG,B2Gold,黄金
BTI,英美烟草,烟草
BUD,百威英博,饮料 - 啤酒
BUR,Burford Capital,资产管理
BURL,伯灵顿百货,服装零售
BVFL,BV Financial,银行 - 地区性
BVS,Bioventus,医疗设备
BWA,博格华纳,汽车零件
BWMN,Bowman Consulting,工程建设
BWXT,BWX Technologies,航空航天和国防
BX,黑石,资产管理
BXP,波士顿物产,房地产投资信托 - 写字楼
BYD,博伊德赌场,渡假村和赌场
BZH,贝哲房屋,住宅施工
C,花旗集团,银行 - 多元化
CABO,Cable One,电信服务
CACC,Credit Acceptance,信贷服务
CACI,CACI国际,信息技术服务
CAG,康尼格拉,包装食品
CAH,卡地纳健康,医疗分配
CAKE,芝乐坊餐馆,餐厅
